h2,ch4,c2h2,c2h4,c2h6
9340.0,995.0,7.0,6.0,60.0
32.03,11.35,0.16,43.56,0.87
14.0,44.0,1.0,7.0,124.0
165.0,129.0,565.0,288.0,18.0
134.0,13.0,0.001,0.001,267.0
670.0,224.0,2.0,67.0,45.0
111.7,19.4,3.8,6.4,104.1
99.13,110.98,0.94,27.95,36.55
4.0,88.0,35.0,14.0,213.0
14.3,92.6,26.8,16.7,83.9
407.0,28.0,0.001,21.0,15.0
60.73,61.78,0.75,48.09,69.21
4480.0,560.0,896.0,403.0,380.0
310.0,230.0,760.0,610.0,54.0
167.0,293.0,106.0,600.0,0.001
20.89,70.36,0.43,13.26,20.79
24.0,20.0,0.001,87.0,4.0
85.0,308.0,18.0,578.0,95.0
605.0,1586.0,2.3,1901.0,655.0
3.0,5.0,3.0,185.0,90.0
43.94,112.67,0.67,40.83,53.92
810.0,280.0,490.0,570.0,111.0
290.0,966.0,57.0,1810.0,299.0
97.0,288.0,93.0,619.0,0.001
243.0,227.0,374.0,364.0,36.0
1549.2,10.2,0.001,53.19,0.001
122.0,161.0,0.001,35.0,271.0
73.8,148.0,1.76,181.0,38.9
152.0,116.0,414.0,131.0,7.0
67.8,8.89,36.2,12.67,1.88
101.91,18.19,0.55,21.68,31.19
34.0,8.6,0.001,3.1,70.3
28.14,123.65,0.58,25.37,12.38
92600.0,10200.0,0.001,2.0,1.0
215.0,84.8,212.0,1002.0,87.7
4127.0,267.0,2060.0,355.0,18.0
24.0,34.6,0.001,21.7,14.2
134.78,34.7,94.1,40.54,4.5
16.4,45.5,0.001,3.8,68.7
532.0,149.0,32.0,212.0,607.0
0.001,153.0,0.001,11.7,395.0
462.0,226.0,47.0,346.0,381.0
69.0,174.0,0.001,15.0,267.0
102.0,6.0,10.0,7.0,6.0
1084.0,188.0,769.0,166.0,8.0
200.0,230.0,480.0,170.0,2.0
2500.0,10500.0,6.0,13500.0,4790.0
150.0,22.0,11.0,60.0,9.0
68.2,82.16,0.9,29.88,41.42
550.0,102.0,429.0,429.0,41.0
46.0,98.0,26.3,41.3,0.001
401.0,580.0,134.0,246.0,40.0
91.3,76.09,0.88,49.33,35.28
94.76,95.09,0.7,28.94,21.72
392.0,153.0,236.0,45.0,82.0
67.92,19.66,0.36,33.18,66.2
950.0,502.0,0.001,0.001,497.0
65.82,20.33,0.99,6.8,33.77
163.0,26.0,133.0,19.0,7.0
671.0,333.0,570.0,95.0,2.0
103.0,343.0,156.0,395.0,2.0
65.2,20.0,25.1,8.13,3.9
385.0,60.0,159.0,53.0,8.0
36.0,30.0,7.1,93.0,10.0
16.0,80.0,0.001,10.0,134.0
305.0,85.0,130.0,197.0,25.0
20.0,48.0,0.001,186.0,36.0
135.88,362.42,125.22,826.65,3.74
37.33,112.74,0.37,31.76,32.75
47.0,120.0,90.0,198.0,3.0
818.0,94.0,978.0,121.0,49.0
1309.0,124.0,0.001,6.0,113.0
315.0,60.0,218.0,93.0,14.0
165.62,240.95,13.53,514.53,61.32
2091.0,149.0,0.001,3.0,20.0
70.0,4.0,34.0,0.001,91.0
900.0,9180.0,22.0,900.0,0.001
128.0,419.0,269.5,614.1,0.35
72.0,442.0,0.7,461.0,221.0
8.0,16.0,0.001,7.0,88.0
268.0,120.0,648.0,193.0,40.0
625.0,49.0,9.0,7.0,0.6
25.0,49.0,0.001,58.0,42.0
658.0,312.0,396.0,212.0,81.0
73.0,8.0,12.0,2.0,4.0
34.0,30.0,0.001,2.5,34.0
88.7,460.8,18.3,184.6,94.9
89.0,322.0,207.0,471.0,0.001
48.91,125.85,0.92,52.76,18.15
2.39,96.62,0.66,28.41,18.11
181.0,49.0,767.0,168.0,17.0
23.0,59.9,0.1,56.9,18.6
559.0,302.0,349.0,325.0,25.0
890.0,110.0,700.0,84.0,3.0
568.0,346.0,283.0,346.0,25.0
35.0,11.0,146.0,7.0,0.001
950.0,868.0,4.0,4.0,124.0
231.0,3997.0,0.001,5584.0,1726.0
34.0,174.0,0.001,361.0,52.0
505.57,475.35,3.29,524.45,242.3
84.0,6.0,86.0,14.0,1.0
3420.0,7870.0,33.0,6990.0,1500.0
531.0,111.9,169.0,122.5,22.7
0.001,116.0,0.001,0.001,70.0
995.0,564.0,336.0,100.0,0.001
19.24,105.22,0.22,29.82,19.88
535.0,160.0,680.0,305.0,16.0
475.3,195.8,221.2,187.3,32.6
30.0,51.0,0.001,54.0,12.0
22.53,88.96,0.67,30.35,55.09
13.0,59.0,0.001,44.0,117.0
6870.0,1028.0,5500.0,900.0,79.0
53.0,39.0,0.001,4.5,3.0
11.7,52.18,0.46,44.61,23.54
210.0,22.0,7.0,6.0,6.0
231.0,3997.0,0.001,5584.0,1726.0
160.0,130.0,0.001,96.0,33.0
31.0,6.6,67.0,4.7,19.0
558.0,281.0,441.0,254.0,24.0
24700.0,61000.0,1560.0,42100.0,26300.0
135.65,278.53,58.86,492.0,2.95
109.0,16.0,0.001,0.001,0.001
10.0,56.0,0.001,70.0,72.0
195.9,14.5,0.001,2.4,11.6
402.0,204.0,28.0,359.0,409.0
836.0,453.0,181.0,364.0,2.0
3675.0,6392.0,5.0,7691.0,2500.0
116.0,20.0,54.0,27.0,7.0
68.0,78.0,0.001,136.0,103.0
120.45,210.91,15.86,285.39,35.7
625.0,49.0,0.6,7.0,9.0
60.0,85.0,227.0,67.0,5.0
533.0,350.0,68.0,142.0,439.0
101.72,27.65,7.13,16.92,53.87
185.0,302.0,0.001,33.0,27.0
205.0,20.0,6.0,0.001,8.0
74.11,51.13,0.54,3.23,11.69
62.55,54.65,0.03,33.0,28.83
179.0,315.0,100.0,578.0,7.0
200.0,230.0,480.0,170.0,2.0
3420.0,7870.0,33.0,6990.0,1500.0
110.0,62.0,250.0,140.0,90.0
485.0,35.0,0.001,6.0,29.0
111.0,559.0,0.001,707.0,243.0
12.64,103.69,0.64,53.18,48.1
860.0,1670.0,40.0,2050.0,30.0
85.87,7.01,4.49,2.64,0.001
26.14,33.11,0.15,42.71,53.45
550.0,53.0,0.001,20.0,34.0
195.9,14.5,11.6,2.4,0.001
613.0,3240.0,0.001,2788.0,1432.0
212.0,38.0,78.0,47.0,15.0
16000.0,4000.0,16000.0,8500.0,500.0
87.17,17.26,32.81,12.87,3.94
85.0,320.0,186.0,383.0,111.0
37.0,123.0,0.001,52.0,67.0
95.68,7.7,0.29,30.33,51.81
103.0,298.0,220.0,477.0,5.0
135.88,362.42,3.74,826.65,125.22
3417.62,131.42,0.0,1.22,14.36
131.0,32.0,38.7,18.8,7.3
1198.0,3.2,1.4,3.2,0.5
65.0,61.0,3.0,143.0,16.0
88.65,99.48,0.91,27.0,62.92
14.32,6.09,0.24,44.18,37.63
181.0,346.0,25.0,583.0,46.0
315.0,138.0,586.0,263.0,14.0
1565.0,93.0,0.0,47.0,34.0
180.85,0.574,0.001,0.188,0.234
4480.0,560.0,896.0,403.0,380.0
240.0,20.0,96.0,28.0,5.0
57.0,15.0,3.1,23.0,25.3
300.0,700.0,36.0,1700.0,280.0
106.0,4.0,0.001,1.0,2.0
110.0,7.0,0.001,0.001,0.001
72.0,442.0,221.0,461.0,0.7
115.0,25.5,8.6,12.2,110.0
164.0,244.0,103.0,497.0,8.3
5.42,51.27,0.22,15.88,55.06
78.0,20.0,28.0,13.0,11.0
60.0,5.0,21.0,21.0,2.0
407.0,289.0,361.0,325.0,24.0
158.0,393.0,189.0,414.0,4.0
810.0,580.0,490.0,570.0,111.0
96.0,20.61,38.57,15.82,5.4
398.0,580.0,180.0,240.0,0.001
103.5,4.7,0.001,3.5,16.3
46.9,161.6,94.1,193.6,56.0
79.0,40.0,0.001,10.0,264.0
1309.0,124.0,113.0,6.0,0.001
85.87,7.01,0.001,2.64,4.49
1.0,27.0,1.0,4.0,49.0
137.0,6.0,16.5,6.4,11.4
31.0,63.0,7.0,714.0,246.0
19.45,104.79,0.9,35.02,24.01
235.46,333.59,148.87,1201.85,177.52
6.0,197.0,0.001,16.9,476.9
33.0,79.0,5.0,215.0,30.0
92.8,6.75,0.001,0.001,0.44
2.7,50.56,0.84,11.32,49.55
18.0,30.0,0.001,8.0,146.0
310.0,345.0,103.0,207.0,34.0
107.0,143.0,2.0,222.0,34.0
422.0,184.0,496.0,287.0,33.0
46.0,147.0,0.001,150.0,27.0
120.0,120.0,33.0,84.0,0.55
8266.0,1061.0,0.001,0.001,22.0
595.0,216.0,108.0,588.0,88.0
161.0,38.0,0.001,13.0,210.0
8.47,28.22,1.66,52.89,8.73
68.0,99.2,35.9,202.9,0.001
134.0,13.0,0.001,0.001,156.0
104.1,83.95,0.1,11.47,28.85
1570.0,735.0,1740.0,1330.0,87.0
2240.0,168.0,0.001,0.001,25.0
716.0,7.1,6.8,20.0,33.0
14.0,33.3,0.0,20.1,8.0
5.0,14.0,0.001,5.0,234.0
369.0,210.0,583.0,196.0,11.0
324.0,451.0,104.0,121.0,0.001
31.2,8.9,0.001,4.4,119.0
1458.0,9.0,0.001,0.001,1812.0
20.37,59.79,45.24,80.49,0.001
109.0,19.0,59.0,12.0,5.0
41.17,62.35,0.86,2.7,41.93
91.0,414.0,219.0,367.0,0.001
7.0,31.0,0.001,148.0,23.0
217.0,592.0,249.0,159.0,0.001
159.0,466.0,12.0,321.0,201.0
897.0,932.0,7.0,6.0,56.0
507.0,1053.0,17.0,1440.0,297.0
6600.0,1000.0,19.0,2.0,38.0
74.8,30.1,0.001,13.6,82.3
209.0,430.0,217.0,325.0,28.0
155.0,49.0,10.7,42.0,69.3
1270.0,3450.0,8.0,1390.0,520.0
123.0,583.0,1.0,228.0,188.0
482.0,373.0,29.0,374.0,225.0
8.33,35.25,0.53,26.3,14.42
110.6,458.8,0.001,406.4,242.6
260.0,215.0,277.0,334.0,35.0
7940.0,2000.0,5390.0,3120.0,355.0
273.0,76.0,648.0,260.0,16.0
187.0,86.0,6.0,21.0,155.0
94.96,4.37,0.02,0.02,0.62
4.1,3.5,5.2,1.2,0.68
9474.0,4066.0,12997.0,6552.0,353.0
166.0,290.0,74.0,620.0,16.0
65.0,20.0,0.001,5.0,10.0
101.0,8.1,0.001,3.0,0.001
158.0,139.0,459.0,369.0,33.0
1550.0,2740.0,184.0,5450.0,816.0
61.0,476.0,174.0,350.0,0.001
63.0,12.0,932.0,50.0,6.0
1000.0,500.0,500.0,400.0,1.0
21.0,2.01,5.61,1.48,0.46
89.84,52.79,0.45,6.04,68.22
197.0,12.0,0.001,15.0,6.6
7.5,28.15,0.47,44.39,46.73
99.0,258.0,13.0,626.0,103.0
565.0,53.0,0.001,47.0,34.0
82.7,86.94,0.28,24.7,6.34
1600.0,3600.0,0.001,14.0,670.0
237.0,135.0,277.0,138.0,450.0
73.0,177.0,0.001,52.0,37.0
157.0,46.0,0.001,12.0,76.0
112.0,68.0,0.001,9.0,136.0
54.87,116.77,0.23,32.5,40.05
22.04,171.05,0.0,182.04,91.29
567.0,896.0,0.001,1.0,103.0
50.18,171.12,0.001,148.69,74.7
50.85,66.72,0.26,29.82,1.57
318.0,493.0,320.0,187.0,0.001
650.0,81.0,270.0,51.0,170.0
0.001,0.2,0.001,0.13,0.1
43.0,116.0,0.001,139.0,65.0
5000.0,4000.0,8000.0,2000.0,2000.0
60.47,0.58,0.62,13.07,12.49
120.0,25.0,40.0,8.0,1.0
9.0,56.0,1.0,7.0,135.0
37.0,47.0,0.001,5.5,10.0
1950.0,123.0,2.0,2.0,38.0
1.32,26.55,0.68,24.38,22.44
75.5,30.2,18.2,30.3,2.33
378.0,521.0,161.0,318.0,0.001
153.0,18.0,278.0,0.001,9.0
5.26,0.001,66.4,28.2,0.001
167.0,471.0,12.0,411.0,105.0
403.0,251.0,186.0,160.0,0.001
170.0,320.0,3.2,520.0,53.0
5760.0,540.0,2760.0,1000.0,40.5
24.0,47.0,0.001,10.0,113.0
29.9,24.1,0.6,92.5,34.3
61.0,52.0,745.0,201.0,1.0
480.0,1075.0,0.001,1132.0,298.0
24.3,15.7,29.8,11.2,6.4
32930.0,2397.0,0.001,0.001,157.0
1790.0,580.0,619.0,336.0,321.0
254.0,491.0,201.0,308.0,0.001
462.0,212.4,0.001,0.001,31.6
5.93,38.38,0.51,3.62,1.34
4.0,99.0,0.1,4.2,82.0
25.0,29.0,0.001,8.0,137.0
86.0,277.0,0.001,338.0,63.0
507.0,1053.0,17.0,1440.0,297.0
121.0,450.0,116.0,898.0,146.0
2240.0,360.0,828.0,169.0,25.0
80.0,619.0,0.001,2480.0,326.0
504.0,283.0,65.0,237.0,415.0
0.001,4.9,0.001,172.0,81.0
113.0,21.0,4.0,0.001,48.0
61.0,16.0,839.0,113.0,32.0
532.0,142.0,472.0,89.0,297.0
820.0,1740.0,128.0,867.0,951.0
60.0,5.0,29.0,6.0,1.0
840.0,116.0,94.0,790.0,0.001
43.59,123.15,0.29,42.17,44.35
420.0,250.0,800.0,530.0,41.0
588.0,399.0,282.0,318.0,0.001
87.79,98.16,0.91,47.44,70.03
69.0,940.0,0.001,15.0,45.0
2.0,123.0,0.001,18.0,7.0
5000.0,4000.0,8000.0,2000.0,2000.0
179.0,306.0,0.001,579.0,73.0
151.0,242.0,0.001,232.0,68.0
47.0,120.0,3.0,198.0,90.0
160.0,10.0,1.0,1.0,3.0
117.0,314.0,108.0,578.0,0.001
110.4,112.0,32.5,80.8,0.001
13.0,138.0,0.001,16.0,83.0
650.0,53.0,0.001,20.0,35.0
111.0,543.0,3.0,354.0,100.0
19.0,47.0,0.001,62.0,27.0
128.0,419.0,0.35,614.1,269.5
23.51,61.33,1.01,98.03,45.21
224.0,4.5,0.001,0.001,2.0
25.4,54.97,10.47,77.84,8.72
68.28,36.96,0.97,4.75,22.69
59.62,62.74,0.09,13.5,43.56
8.0,0.001,101.0,43.0,0.001
127.0,107.0,224.0,154.0,11.0
93.0,275.0,95.0,627.0,3.0
716.0,7.1,6.8,20.0,3.3
179.0,29.0,33.0,17.0,10.0
19.0,48.0,0.001,18.0,76.0
38.0,3.7,19.4,4.1,0.001
531.0,111.9,22.7,122.5,169.0
34.0,83.0,0.001,136.0,100.0
37.9,7.7,33.7,18.4,2.16
117.0,167.0,7.0,481.0,48.0
960.0,4000.0,6.0,1560.0,1290.0
82.06,129.43,0.91,14.68,28.79
42.84,21.1,0.45,22.56,28.56
166.0,21.0,0.001,6.0,38.0
360.0,610.0,9.0,260.0,259.0
21.0,14.0,0.001,90.0,191.0
19.3,103.0,0.6,19.0,159.0
53.0,150.0,0.001,379.0,64.0
105.23,0.67,0.66,38.3,6.53
549.0,121.3,25.5,31.9,198.5
29.0,71.0,0.001,20.0,158.0
57.03,48.69,0.3,0.2,15.58
231.0,208.0,145.0,415.0,1.0
52.36,91.95,0.18,3.27,38.2
1450.0,940.0,61.0,322.0,211.0
480.0,1075.0,0.001,1132.0,298.0
11.0,271.0,0.001,32.0,465.0
105.0,23.0,3.0,4.0,13.0
9.0,47.0,0.001,628.0,144.0
53.0,0.001,701.0,299.0,0.001
17.0,42.0,20.0,12.0,192.0
53.0,189.0,5.0,295.0,25.0
870.0,77.0,14.0,54.0,73.0
2587.0,7.88,4.7,1.4,0.001
240.0,20.0,96.0,28.0,5.0
5900.0,1500.0,800.0,1200.0,68.0
232.0,250.0,322.0,388.0,41.0
156.0,341.0,75.0,497.0,88.0
256.0,8.0,21.1,15.0,37.4
137.0,67.0,104.0,53.0,7.0
17.08,113.85,1.07,52.21,65.13
20.0,19.0,0.001,77.0,45.0
86.12,22.89,0.06,46.29,49.59
32.5,73.19,0.01,21.09,12.75
41.0,112.0,4536.0,254.0,0.001
60.78,68.96,0.83,51.88,60.14
36.0,94.0,2.0,13.0,78.0
46.0,21.0,93.0,11.0,1.0
360.0,610.0,9.0,260.0,259.0
13.0,3.0,6.0,3.0,1.0
362.0,533.0,10.0,553.0,91.0
54.96,13.4,0.13,24.34,6.6
83.26,45.32,18.1,36.45,0.26
71.16,29.48,0.31,28.59,43.63
40.6,29.76,0.18,46.42,69.04
476.0,411.0,272.0,303.0,14.0
137.0,279.0,0.001,505.0,66.0
427.0,221.0,62.0,348.0,369.0
18.0,63.0,0.001,51.0,20.0
120.0,31.0,94.0,66.0,0.001
68.71,119.51,1.03,25.3,5.01
174.0,32.0,859.0,106.0,3.0
80.85,85.0,0.65,47.66,17.44
425.0,17424.0,158.0,37043.0,7299.0
980.0,73.0,0.001,12.0,58.0
135.0,27.0,13.0,9.0,24.0
16.0,105.0,0.001,15.0,224.0
24.0,80.0,6.0,741.0,258.0
16.0,68.0,0.001,15.0,124.0
60.0,10.0,4.0,4.0,4.0
522.2,43.21,1.01,1.02,16.73
24.0,13.0,319.0,43.0,5.0
6709.0,10500.0,750.0,17700.0,1400.0
73.2,114.17,0.22,23.46,28.09
88.0,45.0,39.0,15.0,57.0
755.0,229.0,32.0,404.0,460.0
72.13,71.5,1.04,15.35,7.83
115.0,129.0,0.001,36.0,316.0
152.0,32.0,0.001,55.0,28.0
8800.0,64064.0,0.001,95650.0,72128.0
59.0,7.1,71.0,4.5,19.0
27.6,102.26,1.08,1.83,37.94
78.0,304.0,174.0,434.0,10.0
74.04,99.16,0.67,19.92,4.64
1198.0,3.2,1.4,3.2,0.5
4230.0,690.0,1180.0,196.0,5.0
55.99,95.63,0.2,15.08,55.04
1100.0,1600.0,26.0,2010.0,221.0
142.0,17.0,38.0,7.0,4.0
66.0,60.0,0.001,7.0,2.0
131.7,116.55,0.32,183.97,19.4
10.14,15.04,0.93,34.13,25.03
181.0,162.0,70.0,132.0,0.001
14.0,62.0,0.001,3.0,16.0
12.0,270.0,0.001,275.0,0.001
266.0,30.2,60.2,26.2,4.9
0.67,0.224,0.002,0.067,0.045
54.86,0.02,0.44,52.72,36.31
2.89,18.6,0.42,43.43,59.83
181.0,385.0,0.001,464.0,151.0
37800.0,1740.0,8.0,8.0,249.0
3.82,7.93,0.13,52.68,3.37
7911.85,947.43,4844.48,907.19,96.93
46.25,83.36,0.29,20.98,14.85
470.0,4637.0,0.001,448.0,1300.0
0.001,28.0,6.0,408.0,64.0
50.0,274.0,6.3,320.0,95.0
1.98,41.77,0.22,26.96,14.53
274.0,27.0,97.0,33.0,5.0
165.62,240.95,61.32,514.53,13.53
2510.0,202.0,1730.0,208.0,139.0
5.48,48.82,0.3,489.57,96.81
59.0,119.0,0.001,70.0,36.0
14.0,15.0,0.001,73.0,42.0
2587.2,7882.0,0.001,1.4,4704.0
2240.0,360.0,828.0,169.0,25.0
9.64,5.3,0.54,9.06,1.75
99.0,288.0,0.001,386.0,73.0
22.4,22.4,1.57,13.44,2.69
26.6,4.0,50.0,8.0,0.001
143.2,123.0,0.001,75.0,38.0
195.7,58.0,96.9,91.6,16.4
70.0,3.8,31.1,3.2,0.6
379.0,125.0,544.0,297.0,35.0
3675.0,6392.0,5.0,7691.0,2500.0
73.0,8.0,12.0,2.0,4.0
86.32,86.49,0.63,17.19,36.67
332.0,445.0,192.0,363.0,0.001
211.0,344.0,126.0,253.0,67.0
8.0,88.0,0.001,252.0,45.0
13.2,18.7,4.7,79.5,97.4
10.0,443.0,271.0,287.0,0.001
316.0,692.0,0.001,154.0,154.0
551.0,163.0,603.0,209.0,25.0
191.0,643.0,1.0,259.0,97.0
2031.0,149.0,0.001,3.0,20.0
0.7,1.5,0.001,1.8,0.3
181.0,262.0,0.001,28.0,41.0
33046.0,619.0,0.001,2.0,58.0
2587.0,7.88,0.001,1.4,4.7
33.0,29.0,0.001,12.0,9.0
2850.0,1115.0,3675.0,1987.0,138.0
145.0,295.0,114.0,588.0,3.0
217.0,286.0,884.0,458.0,14.0
12.0,28.0,0.001,3.0,102.0
50.0,42.0,33.0,10.0,98.0
68.0,99.2,0.001,202.9,35.9
17.89,23.01,0.32,17.22,27.4
103.0,74.0,0.001,9.0,80.0
27.0,90.0,0.2,63.0,42.0
39.0,525.0,16.0,2925.0,538.0
993.0,386.0,169.0,386.0,60.0
14.28,60.16,0.09,44.23,49.75
884.0,980.0,0.001,0.001,20.0
54.9,8.8,0.001,2.5,80.0
65.5,23.3,26.0,2.1,1.0
88.0,9.0,0.001,0.03,0.001
2031.0,149.0,0.001,3.0,20.0
732.0,455.0,182.0,182.0,182.0
354.0,311.0,40.0,100.0,548.0
0.001,187.0,0.001,13.0,609.0
2240.0,157.0,45.0,45.0,90.0
112.0,343.0,375.0,170.0,0.001
9.0,3.9,8.0,4.0,13.0
0.001,100.0,7.0,1365.0,309.0
0.001,0.001,0.001,142.0,0.001
403.0,251.0,186.0,160.0,0.001
7.0,15.0,0.001,58.0,78.0
800.0,160.0,600.0,260.0,23.0
70.88,83.0,0.8,17.81,17.68
26788.0,18342.0,0.001,27.0,2111.0
57.0,24.0,30.0,27.0,2.0
54.0,143.0,0.001,101.0,23.0
179.0,39.3,168.0,654.0,64.0
169.0,114.0,461.0,258.0,166.0
274.0,27.0,97.0,33.0,5.0
10.0,26.0,0.001,6.0,147.0
292.0,346.0,196.0,313.0,32.0
86.0,8.0,0.001,2.5,2.5
3559.0,187.0,1140.0,230.0,22.0
320.0,131.0,0.001,127.0,187.0
144.0,1672.0,0.001,669.0,394.0
20.27,82.12,0.92,23.69,58.5
10.0,4.0,0.001,87.0,1.0
85.0,98.0,0.001,30.0,315.0
103.0,292.0,219.0,482.0,7.0
454.0,453.0,181.0,364.0,3.0
547.0,242.0,419.0,226.0,113.0
127.0,24.0,81.0,32.0,0.001
65.0,26.1,10.1,41.6,57.8
87.2,73.18,27.14,56.88,0.001
345.0,112.3,58.8,51.5,27.5
86.57,117.7,0.69,37.33,62.38
56.6,42.66,0.46,22.3,20.19
1565.0,93.0,0.001,47.0,34.0
57.0,148.0,42.0,72.0,197.0
82.0,287.0,199.0,432.0,0.001
336.0,505.0,139.0,354.0,2.0
111.0,67.0,0.001,9.0,105.0
874.0,500.0,414.0,86.0,0.001
16.0,98.0,0.001,64.0,35.0
525.0,146.0,621.0,209.0,24.0
35.0,283.0,0.001,222.0,121.0
143.2,123.0,38.0,75.0,0.001
69.81,33.83,0.43,3.68,32.26
42.71,105.81,0.66,33.82,41.02
928.0,939.0,0.001,0.001,61.0
172.9,334.0,37.7,812.5,172.0
191.0,1359.0,2.0,1494.0,166.0
110.6,458.8,242.6,406.4,0.001
23.51,61.33,45.21,98.03,1.01
95.57,5.15,0.72,0.23,56.23
92.0,202.0,11.0,676.0,111.0
86.0,480.0,9.0,644.0,155.0
222.0,415.0,7.0,521.0,57.0
872.0,892.0,2.0,1.0,105.0
119.0,670.0,19.0,934.0,286.0
328.0,658.0,162.0,179.0,0.001
0.001,0.001,35.0,5.0,10.0
234.5,30.28,175.88,47.69,6.11
289.0,13.4,36.3,49.8,18.2
181.5,22.0,0.001,3.7,76.0
843.0,133.0,385.0,168.0,12.0
40.8,3.0,7.4,3.5,3.6
15.55,7.4,6.35,41.93,7.4
99.0,322.0,244.0,434.0,0.001
183.0,6.0,0.001,5.0,0.001
57.0,141.0,0.001,51.0,38.0
2525.3,130.55,0.0,1.53,14.25
14.2,4.0,1.4,1.5,9.51
78.0,196.3,0.0,109.3,46.1
80.0,619.0,0.001,2480.0,326.0
543.0,120.0,1880.0,411.0,41.0
235.0,16.0,0.001,35.0,0.001
74.73,115.49,0.05,33.03,34.11
55.0,22.0,0.001,2.6,358.0
82.25,67.18,0.89,32.33,65.58
62.0,425.0,26.0,651.0,276.0
58.94,77.72,0.94,12.09,43.21
95.0,10.0,39.0,11.0,0.001
35.81,43.74,0.6,32.96,48.73
14.2,4.0,9.51,1.5,1.4
87.2,73.18,0.001,56.88,27.14
20.0,41.9,20.2,44.2,0.38
82.74,108.92,3.91,249.8,28.06
56.0,61.0,31.0,32.0,75.0
676.74,969.55,17.48,2483.26,570.57
301.0,5.78,5.0,9.7,4.7
63.0,149.6,0.001,276.0,57.5
15.0,139.0,0.001,343.0,160.0
34.0,21.0,56.0,49.0,4.0
5869.58,175.21,0.0,1.45,16.45
105.37,125.71,0.38,53.27,40.29
1.6,1.0,1.6,0.9,0.1
84.0,126.0,0.37,132.2,28.9
243.0,127.0,588.0,122.0,20.0
45.8,81.31,1.02,25.06,15.16
128.0,35.0,0.001,17.0,213.0
615.0,200.0,68.0,102.0,42.0
27.0,49.0,0.001,9.0,192.0
385.0,28.8,171.0,82.3,50.0
420.0,37.3,14.9,30.0,0.2
2091.0,149.0,0.0,3.0,20.0
80.0,28.0,107.0,15.0,4.0
11.0,46.0,0.001,18.0,155.0
160.0,24.7,0.001,0.001,38.5
0.001,21.0,40.0,0.001,0.001
87.0,223.6,0.0,121.1,49.6
60.0,5.0,32.0,21.0,2.0
60.0,60.0,16.0,40.0,0.3
16000.0,3600.0,0.001,14.0,670.0
60.0,393.0,196.0,410.0,1.0
52.21,110.12,0.05,23.6,6.42
130.0,140.0,0.001,120.0,24.0
1027.0,185.0,17.0,271.0,399.0
97.0,110.0,34.0,85.0,0.001
1027.0,185.0,399.0,271.0,17.0
41.0,65.0,0.001,58.0,22.0
475.3,195.8,32.6,187.3,221.2
6454.0,2313.0,6432.0,2159.0,121.0
12.4,6.5,15.0,69.0,15.3
1330.0,10.0,182.0,66.0,20.0
755.0,229.0,460.0,404.0,32.0
650.0,53.0,0.001,20.0,34.0
219.0,44.0,0.001,3.0,3.0
160.0,130.0,0.1,96.0,33.0
43.0,19.0,40.0,0.001,3.0
10.0,44.0,0.001,28.0,106.0
4966.14,145.66,0.0,1.28,15.33
613.0,3240.0,1432.0,2788.0,0.001
476.0,283.0,323.0,313.0,81.0
8.88,7.86,0.26,22.16,47.7
36.46,2.07,1.04,36.65,28.3
24.0,34.6,14.2,21.7,0.001
478.0,137.0,733.0,120.0,11.0
56.0,10.0,17.6,13.5,1.3
20.0,41.9,0.38,44.2,20.2
859.0,496.0,318.0,187.0,0.001
10092.0,5399.0,37565.0,6500.0,530.0
111.0,2.8,27.5,0.001,47.0
1249.0,370.0,1371.0,606.0,56.0
89.0,281.0,22.0,1216.0,145.0
39.4,65.2,0.001,8.1,103.9
92600.0,10200.0,0.001,0.001,0.001
21.0,42.0,0.001,92.0,4.0
27.43,100.17,0.57,27.14,3.82
48.0,20.0,31.0,41.0,69.0
161.0,286.0,121.0,583.0,10.0
500.0,231.0,462.0,231.0,77.0
76.0,434.0,192.0,374.0,0.001
173.0,480.0,2.0,426.0,92.0
225.0,4.7,89.0,8.7,0.001
15.0,159.0,0.001,87.0,29.0
54.54,71.93,6.58,97.37,9.72
24.3,15.7,29.8,11.2,6.4
244.0,754.0,27.0,1281.0,172.0
19.0,62.0,0.001,5.0,95.0
23.0,12.0,61.0,10.0,12.0
253.0,21.5,72.4,16.1,5.9
595.0,80.0,244.0,89.0,9.0
26.0,398.0,0.001,319.0,85.0
43.3,27.95,0.66,10.22,48.84
80.54,36.66,0.36,46.18,28.85
529.75,58.96,1.27,5.06,18.12
85.0,49.0,399.0,50.0,4.0
1.0,8.0,6.0,100.0,8.0
0.001,51.0,1.0,441.0,507.0
200.0,700.0,1.0,740.0,250.0
84.37,110.15,0.67,42.38,66.8
207.0,162.0,431.0,377.0,31.0
109.0,226.0,0.001,192.0,68.0
2240.0,157.0,45.0,157.0,90.0
